sampling.session,species,id_tag,survival,LD1,LD2,LD3
fall.2015,sagrei,orangeo69,0,2.950183,-0.057028,0.424995
fall.2015,sagrei,orangeo49,0,1.151634,0.940932,-1.032156
fall.2015,sagrei,orangeo54,0,0.690640,1.324776,-0.060235
fall.2015,sagrei,orangeo51,1,1.569531,0.734210,-1.319233
fall.2015,carolinensis,orangeo50,0,-3.627046,1.711626,-0.479008
fall.2015,sagrei,orangeo48,0,2.174874,-0.877148,0.601784
fall.2015,sagrei,orangeo53,0,0.696945,1.079171,-0.480558
fall.2015,equestris,orangeo55,0,-6.144977,-3.255002,-3.611492
fall.2015,sagrei,orangeo64,0,0.370188,1.257434,-0.707439
fall.2015,sagrei,orangeo67,0,-0.358160,-1.461857,-0.710014
fall.2015,carolinensis,orangeo62,1,-6.164787,0.994045,1.565712
fall.2015,sagrei,orangeo58,0,2.244613,-0.203098,-0.223316
fall.2015,sagrei,orangeo61,0,2.528462,-1.120771,-0.740240
fall.2015,sagrei,orangeo59,1,1.503441,-0.915786,-0.139291
fall.2015,sagrei,orangeo60,0,1.621692,0.956719,1.091188
fall.2015,sagrei,orangeo57,0,0.650325,1.293285,1.303593
fall.2015,sagrei,orangeo71,0,2.597830,0.501963,0.272316
fall.2015,sagrei,orangeo74,0,0.535639,1.220096,0.810165
fall.2015,sagrei,orangeo63,1,3.083465,0.041878,-0.930065
fall.2015,sagrei,orangeo56,1,2.170635,1.221432,-0.251959
fall.2015,sagrei,orangeo68,0,2.185068,1.067966,-0.445600
fall.2015,sagrei,orangeo76,0,2.561128,1.012791,-1.188974
fall.2015,carolinensis,orangeo75,1,-7.587449,0.805652,0.256214
fall.2015,sagrei,orangep18,0,-0.252347,-0.486228,0.851918
fall.2015,carolinensis,orangeo77,0,-5.500501,2.248017,0.433158
fall.2015,equestris,orangeo78,0,-6.243651,-4.343087,-2.469688
fall.2015,sagrei,orangeo80,0,3.028668,-0.652199,-0.209740
fall.2015,sagrei,orangeo87,0,0.763731,-0.675128,1.301762
fall.2015,sagrei,orangeo92,0,0.194450,0.810074,1.812767
fall.2015,sagrei,orangeo90,0,0.280491,-0.156525,2.164027
fall.2015,sagrei,orangeo88,0,2.235746,0.802201,-1.026291
fall.2015,sagrei,orangeo85,0,1.977473,0.538777,-0.702405
fall.2015,sagrei,orangeo83,0,3.123221,-0.247895,0.327148
fall.2015,sagrei,orangeo91,0,1.106587,-1.402836,0.960467
fall.2015,sagrei,orangeo93,0,1.501983,0.500251,1.706442
fall.2015,sagrei,orangeo81,0,2.117517,0.269594,-0.477292
fall.2015,sagrei,orangeo79,0,1.847926,0.273368,-0.535866
fall.2015,sagrei,orangeo89,0,2.099221,-0.597277,0.205230
fall.2015,sagrei,orangeo94,0,0.307590,1.300654,1.686481
fall.2015,sagrei,orangeo86,0,2.399956,1.966024,0.294466
fall.2015,carolinensis,orangep15,0,-5.277800,0.571753,2.511041
fall.2015,sagrei,orangeo97,0,0.986636,0.517095,-0.240297
fall.2015,sagrei,orangeo96,1,-0.624853,-0.819436,1.567652
fall.2015,sagrei,orangeo99,0,0.759670,1.910547,0.909980
fall.2015,sagrei,orangep17,0,1.041128,0.471400,1.743833
fall.2015,carolinensis,orangep14,0,-5.059755,0.672093,1.430714
fall.2015,carolinensis,orangep16,0,-6.017478,1.624175,2.348879
fall.2015,sagrei,orangep08,0,0.793782,1.875870,0.060318
fall.2015,sagrei,orangep03,0,2.157694,0.175613,0.298954
fall.2015,sagrei,orangep07,0,0.855334,0.576138,0.073738
fall.2015,sagrei,orangep00,0,0.940715,-1.521083,0.167049
fall.2015,sagrei,orangep04,1,1.535246,0.267682,0.132409
fall.2015,sagrei,orangepo9,0,2.014523,0.787480,0.516466
fall.2015,sagrei,orangep01,1,1.044914,-0.680559,-0.280471
fall.2015,distichus,orangep06,0,-0.275342,-5.653415,5.218771
fall.2015,sagrei,orangep05,1,2.207543,0.528296,-0.083731
fall.2015,sagrei,orangep02,0,1.230743,-0.096350,-0.440382
fall.2015,sagrei,orangep27,0,2.307147,-0.887142,-1.365620
fall.2015,sagrei,orangep19,0,0.928205,0.219526,0.547601
fall.2015,sagrei,orangep21,0,0.817691,1.056725,0.188653
fall.2015,sagrei,orangep22,0,3.241354,0.187390,-0.848724
fall.2015,sagrei,orangep23,0,1.952051,-0.676370,-0.294571
fall.2015,sagrei,orangep24,0,0.652905,0.169021,1.166875
fall.2015,sagrei,orangep26,0,0.033663,1.040501,0.970562
fall.2015,sagrei,orangem31,1,0.761764,0.108197,0.409126
fall.2015,sagrei,orangem18,0,1.893412,-0.105241,0.199488
fall.2015,sagrei,orangem24,0,-0.142760,0.676248,0.866971
fall.2015,carolinensis,orangen04,0,-6.260773,0.581027,1.788114
fall.2015,sagrei,orangen28,1,1.862020,2.075418,0.974788
fall.2015,equestris,orangen23,1,-10.181585,-5.188765,-7.180982
fall.2015,sagrei,orangem96,1,3.303600,-0.221660,-0.789069
fall.2015,sagrei,orangen00,0,2.251352,0.806201,-0.792519
fall.2015,sagrei,orangen20,1,-0.822424,1.214357,0.771804
fall.2015,sagrei,orangen01,1,-0.282892,-0.593669,1.165027
fall.2015,sagrei,orangem98,0,1.632905,-0.300453,0.305128
fall.2015,sagrei,orangem94,0,3.372823,0.398532,-0.313018
fall.2015,sagrei,orangem99,0,1.159625,0.316222,1.465086
fall.2015,sagrei,orangen16,0,-0.750110,-0.034088,2.271926
fall.2015,sagrei,orangem92,0,1.485372,-0.429212,-0.914548
fall.2015,sagrei,orangem83,0,1.677062,0.996396,0.584290
fall.2015,sagrei,orangem84,0,1.628877,-1.414834,-1.619859
fall.2015,sagrei,orangen15,0,0.993532,-1.381735,-0.508928
fall.2015,sagrei,orangem89,0,0.352671,-1.260659,-1.093596
fall.2015,sagrei,orangem80,0,2.835234,0.310024,0.441525
fall.2015,sagrei,orangem81,0,1.724009,-0.032325,-1.119797
spring.2016,sagrei,orangep50,0,-0.264356,1.403881,0.936839
spring.2016,sagrei,orangep28,0,0.880411,-1.027346,-0.919476
spring.2016,sagrei,orangep34,0,-1.746161,0.559328,0.923913
spring.2016,sagrei,orangep30,0,1.676330,-0.993135,-1.299023
spring.2016,sagrei,orangep36,0,0.933499,-1.199371,-1.093224
spring.2016,sagrei,orangep29,0,-1.400971,-2.067229,-1.002361
spring.2016,sagrei,orangep32,0,1.694785,-0.919151,-0.447673
spring.2016,sagrei,orangep39,0,-1.191006,1.830133,0.537179
spring.2016,sagrei,orangep37,0,0.066410,-0.976331,1.320907
spring.2016,sagrei,orangep31,1,1.269020,0.407190,-0.473908
spring.2016,sagrei,orangep38,0,-0.157485,1.030824,0.600609
spring.2016,sagrei,orangep46,0,1.319883,-0.186365,0.908047
spring.2016,sagrei,orangep47,0,0.772319,2.064840,0.001872
spring.2016,sagrei,orangep49,0,1.165020,0.492132,1.746185
spring.2016,sagrei,orangep48,0,0.196844,-0.857660,0.093018
spring.2016,sagrei,orangep42,0,1.277729,1.284893,-0.883753
spring.2016,sagrei,orangep52,1,2.118172,-0.802614,0.407380
spring.2016,carolinensis,orangep56,0,-6.689470,1.867560,0.463479
spring.2016,sagrei,orangep55,0,1.180836,-0.239248,0.608593
spring.2016,sagrei,orangep54,0,0.700245,-1.251364,-0.721268
spring.2016,sagrei,orangep53,0,2.490033,-0.330241,-1.575929
spring.2016,sagrei,orangep59,0,0.986933,-0.471714,0.218552
spring.2016,sagrei,orangep66,1,0.008250,-0.115336,1.993317
spring.2016,carolinensis,orangep68,0,-8.716930,1.540473,-1.752011
spring.2016,carolinensis,orangep69,0,-7.855981,1.675780,0.551428
spring.2016,sagrei,orangep60,0,1.087733,-0.605255,-0.728718
spring.2016,carolinensis,orangep67,0,-7.687990,1.576775,-1.096731
spring.2016,carolinensis,orangep70,0,-5.300216,1.256605,0.924126
spring.2016,sagrei,orangep63,0,0.485595,0.516103,0.692522
spring.2016,sagrei,orangep57,1,2.310569,0.370578,-0.850575
spring.2016,sagrei,orangep65,0,1.866940,0.988815,-0.972628
spring.2016,sagrei,orangep61,0,2.036515,-0.096340,-1.357405
spring.2016,sagrei,orangep58,0,2.640251,-1.202897,-1.168688
spring.2016,sagrei,orangep64,0,0.769319,0.826922,0.694148
spring.2016,sagrei,orangep71,0,0.787621,0.413861,1.534870
spring.2016,sagrei,orangep82,0,1.524378,-0.565640,-0.626231
spring.2016,sagrei,orangep73,1,0.677542,0.004762,-0.345167
spring.2016,sagrei,orangep80,0,1.168833,-0.709527,0.747999
spring.2016,sagrei,orangep74,0,0.279848,-1.726340,-0.391927
spring.2016,sagrei,orangep77,0,0.716496,-0.284034,1.512701
spring.2016,sagrei,orangep81,1,0.808341,0.717111,0.392444
spring.2016,sagrei,orangep78,0,0.232940,0.590151,0.605095
spring.2016,sagrei,orangep75,0,1.181712,-0.346342,-0.319600
spring.2016,carolinensis,orangep84,0,-7.389969,2.820393,-1.157377
spring.2016,sagrei,orangep95,0,1.101023,-0.454488,-0.598490
spring.2016,sagrei,orangep87,0,0.062242,0.926677,1.454300
spring.2016,sagrei,orangep85,0,-0.512885,-0.157091,1.615677
spring.2016,sagrei,orangep89,1,0.037338,0.936321,0.107838
spring.2016,sagrei,orangep94,0,1.953919,0.432988,1.585225
spring.2016,sagrei,orangep88,0,2.343068,0.709081,-1.622148
spring.2016,sagrei,orangep91,1,0.849527,0.615490,-0.161126
spring.2016,sagrei,orangep86,0,1.741198,0.098322,0.033181
spring.2016,sagrei,orangep90,0,1.397178,0.245257,1.590523
spring.2016,sagrei,orangep92,1,2.051063,0.025290,-1.411484
spring.2016,sagrei,orangep93,1,2.157382,0.883152,1.361218
spring.2016,sagrei,orangep97,0,1.062799,0.534731,0.673607
spring.2016,sagrei,oranger05,0,3.148949,0.450731,-0.411390
spring.2016,sagrei,orangep96,0,2.068045,1.010851,0.463808
spring.2016,carolinensis,oranger01,0,-7.699659,1.533728,0.972558
spring.2016,carolinensis,orangep98,0,-4.815087,1.592795,1.696703
spring.2016,carolinensis,oranger00,0,-9.235611,1.426381,-2.396519
spring.2016,sagrei,oranger02,0,2.200061,-1.189109,1.256718
spring.2016,sagrei,oranger04,0,0.927411,-0.587942,0.929299
spring.2016,sagrei,oranger03,0,2.618925,-2.316024,-0.113286
spring.2016,sagrei,oranger07,0,0.839174,-0.224619,0.604471
spring.2016,sagrei,oranger21,1,1.436298,1.807066,-0.130577
spring.2016,sagrei,oranger19,0,1.316827,1.316431,0.704755
spring.2016,sagrei,oranger14,0,1.723769,1.749409,0.424235
spring.2016,sagrei,oranger16,0,2.259960,0.206044,-0.220814
spring.2016,sagrei,oranger11,0,1.453728,-0.271205,-0.402870
spring.2016,sagrei,oranger20,0,1.312258,1.119425,0.807401
spring.2016,sagrei,oranger13,0,1.530639,-0.882525,0.320920
spring.2016,sagrei,oranger15,0,0.407868,-0.271144,0.233771
spring.2016,carolinensis,oranger10,0,-6.012907,-0.047218,1.890949
spring.2016,sagrei,oranger09,0,1.222633,0.119248,-0.509834
spring.2016,sagrei,oranger18,0,1.434577,1.504931,0.232333
spring.2016,sagrei,oranger22,0,1.292958,0.836151,0.225395
spring.2016,sagrei,oranger17,0,1.639493,0.529284,0.461505
spring.2016,carolinensis,oranger12,0,-4.084378,-0.636954,1.856513
spring.2016,sagrei,oranger06,1,2.259531,2.591665,-0.649081
spring.2016,sagrei,oranger42,0,2.105334,-0.659880,-0.428754
spring.2016,sagrei,oranger38,0,0.358367,-0.270829,-0.504827
spring.2016,sagrei,oranger41,0,0.986492,0.742907,0.089648
spring.2016,sagrei,oranger36,0,1.862496,0.023386,0.132899
spring.2016,carolinensis,oranger31,0,-9.231193,-0.839698,-0.200902
spring.2016,sagrei,oranger37,1,0.458489,1.280048,1.889225
spring.2016,sagrei,oranger33,0,2.820867,-0.474794,-0.307634
spring.2016,sagrei,oranger32,0,1.819077,-0.771638,-0.915909
spring.2016,sagrei,oranger43,0,0.578527,1.789119,0.131722
spring.2016,sagrei,oranger23,1,1.336626,0.053945,-0.747685
spring.2016,sagrei,oranger28,1,1.426856,0.509542,0.364818
spring.2016,sagrei,oranger34,1,1.480518,0.588133,-0.939593
spring.2016,sagrei,oranger29,0,0.933685,-1.665201,-0.228345
spring.2016,sagrei,oranger25,0,-0.630339,-0.039915,-0.149986
spring.2016,carolinensis,oranger26,0,-5.351627,1.040147,0.473767
spring.2016,sagrei,oranger24,1,0.783847,0.500904,-0.604542
spring.2016,sagrei,oranger40,0,1.328936,-0.017710,-0.622137
spring.2016,carolinensis,oranger27,0,-7.211205,0.823191,-2.488407
spring.2016,sagrei,oranger39,0,2.129133,-1.151536,0.399331
spring.2016,sagrei,oranger35,0,1.627263,0.587638,-1.007606
spring.2016,sagrei,oranger30,0,1.100265,-1.242115,-0.873813
spring.2016,carolinensis,oranger51,0,-6.469313,-0.202129,2.160987
spring.2016,sagrei,oranger53,0,0.544854,-0.044421,-1.340588
spring.2016,carolinensis,oranger49,1,-7.233913,1.503570,-1.589674
spring.2016,carolinensis,oranger50,0,-3.803050,0.940045,2.087497
spring.2016,carolinensis,oranger46,0,-8.762480,1.385177,-0.902171
spring.2016,carolinensis,oranger44,0,-6.733643,1.478740,0.022908
spring.2016,sagrei,oranger45,0,1.349084,-0.457432,-1.186181
spring.2016,sagrei,oranger52,0,2.089196,0.601421,-0.733085
spring.2016,equestris,oranger47,0,-12.976021,-8.075401,-10.894732
spring.2016,sagrei,oranger63,0,0.651831,-0.288631,0.892276
spring.2016,sagrei,oranger61,0,0.300565,1.144842,0.749009
spring.2016,sagrei,oranger59,0,1.620444,-0.431925,-0.425080
spring.2016,carolinensis,oranger62,0,-6.941563,0.527352,1.099490
spring.2016,sagrei,oranger55,0,0.325211,0.444538,-0.745142
spring.2016,sagrei,oranger54,0,0.964482,-0.683578,-1.336686
spring.2016,sagrei,oranger65,1,1.409260,0.092076,0.340157
spring.2016,sagrei,oranger56,0,0.501664,1.455249,0.237442
spring.2016,sagrei,oranger58,0,1.047742,0.731759,1.177896
spring.2016,sagrei,oranger57,0,2.530567,1.126054,-0.680494
spring.2016,carolinensis,oranger60,1,-5.207516,1.793370,0.561459
spring.2016,sagrei,oranger66,1,2.384506,0.574708,-1.264961
